tahun,perpustakaan,jumlah
2015,Cikini,72758.0
2016,Cikini,103341.0
2019,Cikini,62895.0
2017,Cikini,83619.0
2018,Cikini,79114.0
2015,Kuningan,13529.0
2016,Kuningan,68654.0
2019,Kuningan,45230.0
2018,Kuningan,5447.0
2017,Kuningan,53821.0
