tahun,perpustakaan,jumlah
2015,Cikini,72758
2015,Kuningan,13529
2015,PDS HB Jassin,
2015,Perpustakaan Digital iJakarta,
2015,Sudin Pusip Jakpus (Stationary),15108
2015,Sudin Pusip Jakpus (Pusling),24717
2015,Sudin Pusip Jakpus (RPTRA),
2015,Sudin Pusip Jaktim (Stationary),13211
2015,Sudin Pusip Jaktim (Pusling),47509
2015,Sudin Pusip Jaktim (RPTRA),
2015,Sudin Pusip Jakbar (Stationary),28384
2015,Sudin Pusip Jakbar (Pusling),
2015,Sudin Pusip Jakbar (RPTRA),
2015,Sudin Pusip Jaksel (Stationary),18956
2015,Sudin Pusip Jaksel (Pusling),18690
2015,Sudin Pusip Jaksel (RPTRA),
2015,Sudin Pusip Jakut (Stationary),18548
2015,Sudin Pusip Jakut (Pusling),20609
2015,Sudin Pusip Jakut (RPTRA),
2015,Sudin Pusip Pulau 1000 (Stationary),8579
2015,Sudin Pusip Pulau 1000 (RPTRA),
2015,Permata 1,7549
2015,Permata 2,3819
